Date,Variação Total (R$),Variação Percentual,Nome
2022-04-13,176.77003356933574,0.09412524484131546,VALE3
2022-04-14,147.94991943359355,0.07877931632273905,VALE3
2022-04-18,114.50999328613261,0.060973463302573805,VALE3
2022-04-19,50.93000671386699,0.027118846191949597,VALE3
2022-04-20,0.7700335693357374,0.00041002197480111136,VALE3
2022-04-22,-108.13006713867208,-0.05757632579813532,VALE3
2022-04-25,-138.26995971679708,-0.07362500051479315,VALE3
2022-04-26,-162.0300000000002,-0.08627657705148495,VALE3
2022-04-27,-70.29004028320333,-0.03742753858202652,VALE3
2022-04-28,-25.630067138672075,-0.013647315079456712,VALE3
2022-04-29,-45.64997985839864,-0.02430737520614612,VALE3
2022-05-02,-53.790040283203325,-0.02864173643829082,VALE3
2022-05-03,-63.0300000000002,-0.03356176418907053,VALE3
2022-05-04,-78.2100537109377,-0.04164473076092379,VALE3
2022-05-05,-110.76995971679708,-0.058981996941900317,VALE3
2022-05-06,-123.30995300292989,-0.06565920299618744,VALE3
2022-05-09,-195.2500469970705,-0.10396535039220378,VALE3
2022-05-10,-216.14997985839864,-0.1150939973580819,VALE3
2022-05-11,-146.8499462890627,-0.07819361047963169,VALE3
2022-05-12,-164.22996643066426,-0.0874479994625561,VALE3
2022-05-13,-166.2100537109377,-0.08850234219418096,VALE3
2022-05-16,-114.95001342773458,-0.06120776208459644,VALE3
2022-05-17,-122.42993286132833,-0.06519061615699873,VALE3
2022-05-18,-166.87002685546895,-0.08885375998012224,VALE3
2022-05-19,-121.33003356933614,-0.06460494963836372,VALE3
2022-05-20,-90.30995300292989,-0.04808759870871593,VALE3
2022-05-23,-53.790040283203325,-0.02864173643829082,VALE3
2022-05-24,-29.149979858398638,-0.015521573062410421,VALE3
2022-05-25,-23.429932861328325,-0.01247580329458442,VALE3
2022-05-26,-24.5300000000002,-0.013061559187020566,VALE3
2022-05-27,7.81002685546855,0.004158627314509555,VALE3
2022-05-30,28.270033569335737,0.015053025547693943,VALE3
2022-05-31,18.589979858398237,0.009898659690419365,VALE3
2022-06-01,63.24995300292949,0.033678883192989284,VALE3
2022-06-02,99.77003356933574,0.05312483483721553,VALE3
2022-06-03,68.08997985839824,0.03625606612162646,VALE3
2022-06-06,70.07006713867167,0.03731040885325143,VALE3
